No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
60,PreTS_LHEOEUPPOHLYAY-UHFFFAOYSA-N,None,None,None,None,None,-730.056838784681
61,PreSm_BBRCXNPAPOZOFT-UHFFFAOYSA-N,None,None,None,None,None,-1112.77261780166
62,PreTS_LDEOTWBEVUURSZ-UHFFFAOYSA-N,None,None,None,None,None,-914.345197274163
63,PreTS_AUMKGEPLFXKQFW-UHFFFAOYSA-N,None,None,None,None,None,-616.863864738469
64,PreSm_WTSZUXPMYTVMIH-UHFFFAOYSA-N,None,None,None,None,None,-921.635599559035
65,PVVRZMSBDOALOF-UHFFFAOYSA-N,None,None,None,None,None,-907.320606189267
66,PreSm_LDEOTWBEVUURSZ-UHFFFAOYSA-N,None,None,None,None,None,-914.358815010391
67,PreTS_SGHWCOGVXGUADK-UHFFFAOYSA-N,None,None,None,None,None,-769.285048761388
68,PreSm_SGHWCOGVXGUADK-UHFFFAOYSA-N,None,None,None,None,None,-769.29820359537
69,PreTS_RTVJKSWRNQXYIT-UHFFFAOYSA-N,None,None,None,None,None,-921.431729874366
70,HPRYCTMHBHPYBO-UHFFFAOYSA-N,None,None,None,None,None,-537.273456477228
71,PreTS_RQYLLQZMJBWMHH-UHFFFAOYSA-N,None,None,None,None,None,-1013.56946618576
72,PreSm_AHPNQRDUZRCXIO-UHFFFAOYSA-N,None,None,None,None,None,-730.095515952498
73,PreTS_LHKUDMLSXGHBPF-UHFFFAOYSA-N,None,None,None,None,None,-1443.812926825103
74,PreSm_VIRUAVNQALUSNJ-UHFFFAOYSA-N,None,None,None,None,None,-651.634984920736
75,YKYONYBAUNKHLG-UHFFFAOYSA-N,None,None,None,None,None,-345.705964630168
76,PreTS_SEOIFVFWJIJIIG-UHFFFAOYSA-N,None,None,None,None,None,-733.093055889487
77,HDFGOPSGAURCEO-UHFFFAOYSA-N,None,None,None,None,None,-437.279463594582
78,PreTS_GULPOKXVKHWXBS-UHFFFAOYSA-N,None,None,None,None,None,-733.114374245465
79,BTMVHUNTONAYDX-UHFFFAOYSA-N,None,None,None,None,None,-424.14199186643
80,OCWLYWIFNDCWRZ-UHFFFAOYSA-N,None,None,None,None,None,-384.936970292778
81,PreSm_GJBFCHDGKFLGPU-UHFFFAOYSA-N,None,None,None,None,None,-769.277021266231
82,PreSm_MRTAOOLXDIZHHG-UHFFFAOYSA-N,None,None,None,None,None,-657.759126944317
83,AVUFZLGLMCACRE-UHFFFAOYSA-N,None,None,None,None,None,-384.339666722454
