No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
60,PreSm_HIYWUJCGKLFTON-UHFFFAOYSA-N,None,None,None,None,None,-1189.204587413565
61,PreSm_IJOZXCHDWOLXNX-UHFFFAOYSA-N,None,None,None,None,None,-728.893370128484
62,PreSm_ILXCZDBDFKCBEC-UHFFFAOYSA-N,None,None,None,None,None,-365.935667718894
63,PreTS_JYBZKGBKVSGWDD-UHFFFAOYSA-N,None,None,None,None,None,-555.4321862035
64,DKPFZGUDAPQIHT-UHFFFAOYSA-N,None,None,None,None,None,-384.924280276618
65,PreTS_GQDRRQBCTAZFEJ-UHFFFAOYSA-N,None,None,None,None,None,-651.621991268501
66,PreTS_KDGATBSHELBYPB-UHFFFAOYSA-N,None,None,None,None,None,-555.431484987707
67,PreSm_IUVKJVZQHNYEAZ-UHFFFAOYSA-N,None,None,None,None,None,-996.833204405157
68,PreSm_ZLMUNUVPCGATEX-UHFFFAOYSA-N,None,None,None,None,None,-555.437330617745
69,PreSm_ZQEXKJCBJFGSEF-UHFFFAOYSA-N,None,None,None,None,None,-633.899729239112
70,PreTS_JQIRWQNTXPISOM-UHFFFAOYSA-N,None,None,None,None,None,-808.090582904903
71,PreTS_ANRRNARYQLVHFP-UHFFFAOYSA-N,None,None,None,None,None,-588.977819151768
72,PreTS_CPWZUGVKPAXLKC-UHFFFAOYSA-N,None,None,None,None,None,-886.957856483156
73,PreTS_DSXSFXJDBVGXTF-UHFFFAOYSA-N,None,None,None,None,None,-633.885038045326
74,PreTS_MDOAAHGPXOGVQG-UHFFFAOYSA-N,None,None,None,None,None,-196.56435347432
75,PreTS_XOWDNMOPCKCIPQ-UHFFFAOYSA-N,None,None,None,None,None,-654.706893856352
76,PreTS_NKNNWJVUYQQVCM-UHFFFAOYSA-N,None,None,None,None,None,-501.335044041707
77,PreTS_RHOQNDIOGWKCJW-UHFFFAOYSA-N,None,None,None,None,None,-883.21999213988
78,PreTS_UQZPELAELWPGDS-UHFFFAOYSA-N,None,None,None,None,None,-579.548540358191
79,PreTS_HQVRYUALESRTQS-UHFFFAOYSA-N,None,None,None,None,None,-690.85472406817
80,PreTS_JOQQJWBRFYQTOM-UHFFFAOYSA-N,None,None,None,None,None,-651.624328760012
81,PreTS_UMFOKXIQTZOEBU-UHFFFAOYSA-N,None,None,None,None,None,-1267.210890717163
82,PreTS_DJLQCZHKYIXRHI-UHFFFAOYSA-N,None,None,None,None,None,-960.654880860098
83,PreSm_FTNGLPGTWWHWDD-UHFFFAOYSA-N,None,None,None,None,None,-558.510069715934
84,PreTS_ZKGKGSZVHGWIKZ-UHFFFAOYSA-N,None,None,None,None,None,-654.726562612632
85,PreTS_CCFHXHLURORDOP-UHFFFAOYSA-N,None,None,None,None,None,-647.531697142002
