No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
284,WCNKQVCHCGAPGE-UHFFFAOYSA-N,0.21959444,0.280769985549,0.27982578,0.26296111,0.06117554,-692.278234665549
285,PreSm_PVDHDTXSCKHATC-UHFFFAOYSA-N,0.1479978,0.20163186721208604,0.20068766,0.18769096,0.05363407,-848.457186857212
286,PreSm_VOKIGVXCRFTUBE-UHFFFAOYSA-N,0.09337242,0.14809182859403336,0.14714762,0.13409599,0.05471941,-1229.669679048594
287,PreSm_OVROFJRJJDHGFY-UHFFFAOYSA-N,0.250194,0.31488397335601803,0.31393976,0.29547645,0.06468998,-808.535441993356
288,PreSm_OZCPOULLPGXPJT-UHFFFAOYSA-N,0.21142868,0.2776911602149994,0.27674696000000004,0.25780623,0.06626249,-692.238151650215
289,CFDNSLQPTYKXKS-UHFFFAOYSA-N,0.21615151,0.2816536006120032,0.28070939,0.26217773,0.0655021,-784.526045670612
290,PreTS_QNLRCPKRTNEDAI-UHFFFAOYSA-N,0.28243805,0.35529307652598163,0.35434887,0.33193845,0.07285503,-959.461005176526
291,HNPIZWYCKAWWGR-UHFFFAOYSA-N,0.23094134,0.2891811050619708,0.28823688999999997,0.27279496,0.05823976,-656.116449945062
292,UAANGKFOVZRFDM-UHFFFAOYSA-N,0.16602669,0.22098853682405206,0.22004433,0.20615583,0.05496185,-613.644756646824
293,PreSm_PPRRRNMEPPQNJZ-UHFFFAOYSA-N,0.3481536,0.4348859157710194,0.43394171,0.40504292,0.08673231,-1226.719267815771
294,PreSm_QPMUEWXAQNFCMZ-UHFFFAOYSA-N,0.25168095,0.31675869700404746,0.31581449,0.29706333,0.06507774,-695.412156207004
295,PreSm_QSOBPQOCUOOQCL-UHFFFAOYSA-N,0.06894186,0.1261288748289644,0.12518467,0.11110205,0.05718702,-526.764873094829
296,PreTS_JKUQKVVEASBKKB-UHFFFAOYSA-N,0.23456389,0.296020836839034,0.29507663,0.2785595,0.06145696,-618.172730696839
297,VVQNEPGJFQJSBK-UHFFFAOYSA-N,0.09206937,0.13305954940199172,0.13211534,0.12408863,0.04099018,-345.830124839402
298,PreTS_VAOXKTWJPRTVFB-UHFFFAOYSA-N,0.2001862,0.2569704758949456,0.25602626,0.2415554,0.05678427,-616.748985495895
299,ZBSIVKDSEXUTLD-UHFFFAOYSA-N,0.10984153,0.15315822931404455,0.15221402,0.14359915,0.0433167,-694.843657699314
300,PreSm_ANTQBQOFIOXUJE-UHFFFAOYSA-N,0.23044531,0.2963781292750127,0.29543393,0.27685587,0.06593282,-618.188713639275
301,GSPLSHVIIGMBIH-UHFFFAOYSA-N,0.06877589,0.10691282550197911,0.10596861,0.09929074,0.03813693,-231.846676795502
302,YNFMGLXEFFSHRT-UHFFFAOYSA-N,0.13635113,0.18622231227703878,0.1852781,0.17352856,0.04987118,-420.958406742277
303,MIWQHLIBMIMIRX-UHFFFAOYSA-N,0.13752125,0.18158119539396012,0.18063698,0.17164313,0.04405994,-349.571399295394
304,OJLPLAJWVRMANJ-UHFFFAOYSA-N,0.11142294,0.15866673781999907,0.15772253,0.14747257,0.0472438,-770.08651886782
305,YBFUUDHBYAVXEY-UHFFFAOYSA-N,0.25604916,0.317374981535977,0.31643077999999997,0.29974269,0.06132583,-808.559590161536
306,PreTS_JRBKNTHHKGURGR-UHFFFAOYSA-N,0.20101313,0.256866118424,0.2559219,0.24173197,0.05585299,-616.771961128424
307,PreSm_OUQYJWFFGDUWOR-UHFFFAOYSA-N,0.17123,0.2276084512069474,0.22666424000000002,0.21224185,0.05637845,-577.463490691207
308,PreTS_VDRMHTSOVPZDEH-UHFFFAOYSA-N,0.23974067,0.302533465192937,0.30158925000000003,0.2842715,0.06279279,-920.662489185193
309,DAFVQOPSDMXZSB-UHFFFAOYSA-N,0.24215766,0.298338600602051,0.29739439,0.28320032,0.05618095,-619.953676940602
310,RWGFKTVRMDUZSP-UHFFFAOYSA-N,0.15293068,0.1954799110590102,0.1945357,0.18589848,0.04254924,-350.219344671059
311,CCZPEVWFRADAQF-UHFFFAOYSA-N,0.20447983,0.26022654320797756,0.25928233,0.24510722,0.05574671,-616.816488813208
312,TVLUDICEKQWCLA-UHFFFAOYSA-N,0.25880654,0.3191173084838965,0.3181731,0.30144628,0.06031076,-695.438771128484
313,PreTS_LIMSIMVBVLRYHL-UHFFFAOYSA-N,0.18504117,0.2393069808179007,0.23836277,0.2250227,0.05426581,-520.410876510818
314,DUEVIJNWLJUFDM-UHFFFAOYSA-N,0.07371906,0.11360790079800154,0.11266369,0.10533278,0.03988885,-307.088807810798
315,NTNAZSHWKDKDAM-UHFFFAOYSA-N,0.21925353,0.27992110085301647,0.27897689999999997,0.26213146,0.06066758,-692.268907980853
316,PreSm_HXBLNQZNCROGPI-UHFFFAOYSA-N,0.13698579,0.19294063375991755,0.19199642,0.17818585,0.05595484,-1308.07492575376
317,UTINZLRYJDKCIW-UHFFFAOYSA-N,0.20469114,0.2631665763390174,0.26222237,0.24667707,0.05847543,-595.942817906339
318,QDDPYCSDXYMDJU-UHFFFAOYSA-N,0.19316775,0.2510011750530339,0.25005696,0.23474553,0.05783342,-652.953347515053
319,PreTS_VWCVATAYLCUMCJ-UHFFFAOYSA-N,0.19390686,0.2558310987819823,0.25495037,0.23845107,0.06198772,-691.016239308782
320,PreSm_JRBKNTHHKGURGR-UHFFFAOYSA-N,0.19733107,0.2576430049849705,0.25669879,0.24050344,0.06031194,-616.787789234985
321,XPIKPSMRAGXTTK-UHFFFAOYSA-N,0.20394393,0.2601979011220692,0.25925369,0.24505844,0.05625398,-616.791224001122
322,WCDIPYSBMMNCOD-UHFFFAOYSA-N,0.15387865,0.2106368213399037,0.20969261,0.19536144,0.05675817,-725.80304018134
323,PreSm_VIRUAVNQALUSNJ-UHFFFAOYSA-N,0.18356671,0.24732430096798907,0.2463801,0.22864797,0.0637576,-652.913756760968
324,PreTS_LAZIKNMIMOHJCV-UHFFFAOYSA-N,0.08246005,0.13011575817301946,0.12917155,0.11888948,0.04765571,-550.764950478173
325,PreSm_OGBBGGRANWCZGA-UHFFFAOYSA-N,0.12910418,0.18832793689398386,0.18738373,0.17236838,0.05922376,-574.290696416894
326,XUEFBWKFLKYIJD-UHFFFAOYSA-N,0.19130091,0.24983999537198542,0.24889579,0.2333396,0.05853908,-652.958956065372
327,BXJTTXPJKGQMKK-UHFFFAOYSA-N,0.06940069,0.11150761469093595,0.1105634,0.10227045,0.04210693,-555.523401534691
328,PreSm_ZMHLQXKVIZSXRB-UHFFFAOYSA-N,0.18672761,0.24544702183402478,0.24450281000000001,0.22890793,0.05871941,-632.830221561834
329,FJFFGMIMRCBMMO-UHFFFAOYSA-N,0.14259506,0.19133757616395997,0.19039336,0.17934147,0.04874251,-403.924843336164
330,PJANXHGTPQOBST-VAWYXSNFSA-N,0.18045126,0.22789847967101196,0.22695379999999998,0.21657131,0.04744674,-540.738191089671
331,PreTS_QSOBPQOCUOOQCL-UHFFFAOYSA-N,0.07294542,0.12530060983999647,0.12435641,0.11200526,0.0523552,-526.74313788984
332,PreSm_LYYFGNMJGJWFQR-UHFFFAOYSA-N,0.17557636,0.23549957086299855,0.23455536000000002,0.21863618,0.05992321,-539.549439540863
333,LQLYZPTVIYLWPB-UHFFFAOYSA-N,0.20683227,0.2650544868839688,0.26411028,0.24852364,0.05822222,-653.614745496884
334,PreSm_BHQUGRQFUKEOPK-UHFFFAOYSA-N,0.01296916,0.06920536470602201,0.06826116,0.05506286,0.05623621,-951.813466484706
335,HRPVXLWXLXDGHG-UHFFFAOYSA-N,0.05136534,0.08622179851698775,0.08527759,0.07970955,0.03485646,-247.333658248517
336,PreSm_WUOLSZLFXCBVHM-UHFFFAOYSA-N,0.10198949,0.1544526967140314,0.15350849,0.14096481,0.05246321,-418.770407836714
337,ADGMSSWYWMKYSF-UHFFFAOYSA-N,0.04780886,0.0839385343970207,0.08299433,0.07723831,0.03612967,-267.787387814397
338,PreTS_HXBLNQZNCROGPI-UHFFFAOYSA-N,0.14061889,0.19272493875405416,0.19178073,0.17962721,0.05210605,-1308.057831518754
