No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
322,PreSm_MHNURBLHPUVPPF-UHFFFAOYSA-N,0.26386179,0.33349009569701593,0.33254589,0.31217481,0.06962831,-959.996490585697
323,PreTS_NWYJUBCWHZKKLL-UHFFFAOYSA-N,0.21771808,0.27615072786704786,0.27520650999999996,0.25971002,0.05843265,-768.231834087867
324,BAPJBEWLBFYGME-UHFFFAOYSA-N,0.06583147,0.10350181200499264,0.1025576,0.09596558,0.03767034,-306.507869072005
325,PreSm_GQJRLZSLZHNJPJ-UHFFFAOYSA-N,0.22596818,0.28751669264499924,0.28657247999999996,0.26962115,0.06154851,-656.104920212645
326,PreSm_LPMBXRNRAJZWRD-UHFFFAOYSA-N,0.24238368,0.3049590955209851,0.30401489000000004,0.28690966,0.06257541,-582.032335705521
327,PreTS_YFMCPHZKTYPFSQ-UHFFFAOYSA-N,0.25454134,0.31670071914106757,0.31575651,0.29859626,0.06215938,-695.390939349141
328,PreTS_JRMDEKYJHVPHEK-UHFFFAOYSA-N,0.13985006,0.19258811321697067,0.19164391,0.17915339,0.05273805,-884.606590583217
329,PreSm_SPRUHIKLOYEBHP-UHFFFAOYSA-N,0.18728039,0.2468236928081069,0.24587949,0.23016222,0.05954331,-728.923313692808
330,PreTS_UOACIRAVILKLSG-UHFFFAOYSA-N,0.1833102,0.24035126288697484,0.23940706,0.22464318,0.05704106,-612.653674402887
331,PreSm_AXKCYRGZCUHOTB-UHFFFAOYSA-N,0.21255844,0.2753496441040397,0.27440544,0.25715488,0.0627912,-672.126196694104
332,PreSm_FQRUUNHLNRZSIH-UHFFFAOYSA-N,0.12993495,0.1845420002940159,0.18359778999999998,0.17014817,0.05460705,-458.086780550294
333,PreTS_DABGEJNAXINAFN-UHFFFAOYSA-N,0.08821904,0.1374379127271368,0.1364937,0.12563454,0.04921887,-1208.558847762727
334,PreTS_SJPGAFQQHQTLDG-UHFFFAOYSA-N,0.16208612,0.21446073270396937,0.21351652,0.20063877,0.05237462,-534.560711822704
335,PreSm_FFAJSNBYSWUBPS-UHFFFAOYSA-N,0.14315739,0.19986155357702273,0.19891734,0.18466985,0.05670416,-424.998878323577
336,PreSm_IJCPXIFGYRUPRE-UHFFFAOYSA-N,0.33274795,0.4042391061220769,0.4032949,0.38173118,0.07149116,-662.089537086122
337,PreTS_SPRUHIKLOYEBHP-UHFFFAOYSA-N,0.18972109,0.2459877065080036,0.2450435,0.23079114,0.05626662,-728.908436176508
338,PreSm_IOCTVKGDHOEXDG-UHFFFAOYSA-N,0.14690817,0.20730580495398954,0.20636159,0.19030615,0.06039763,-725.753364794954
339,PreTS_LQBJCMCYAIBSNA-UHFFFAOYSA-N,0.20900068,0.2656744032390179,0.26473019999999997,0.2498385,0.05667373,-541.721236303239
340,XWUSALIIUZARQE-UHFFFAOYSA-N,0.02860062,0.0681518369940477,0.06720762999999999,0.06028669,0.03955122,-515.531605716994
341,PreTS_PAFIDFZXBGPBEA-UHFFFAOYSA-N,0.13217125,0.17998156468206616,0.17903736,0.16857399,0.04781032,-734.097432744682
342,PreSm_SKWSSZMCIIIBEJ-UHFFFAOYSA-N,0.20969608,0.2772638547010047,0.27631964000000003,0.25700694,0.06756777,-692.230385184701
343,PreTS_DQTMTWJQRKLULM-UHFFFAOYSA-N,0.21634266,0.27534396258897686,0.27439976,0.25888309,0.0590013,-672.108617722589
