No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
61,PreTS_LHEOEUPPOHLYAY-UHFFFAOYSA-N,None,None,None,None,None,-730.243869302333
62,PreSm_BBRCXNPAPOZOFT-UHFFFAOYSA-N,None,None,None,None,None,-1113.003309255315
63,PreTS_LDEOTWBEVUURSZ-UHFFFAOYSA-N,None,None,None,None,None,-914.516843397402
64,PreTS_AUMKGEPLFXKQFW-UHFFFAOYSA-N,None,None,None,None,None,-617.049174278404
65,PreSm_WTSZUXPMYTVMIH-UHFFFAOYSA-N,None,None,None,None,None,-921.858945903884
66,PVVRZMSBDOALOF-UHFFFAOYSA-N,None,None,None,None,None,-907.467531747692
67,PreSm_LDEOTWBEVUURSZ-UHFFFAOYSA-N,None,None,None,None,None,-914.527238636635
68,PreTS_SGHWCOGVXGUADK-UHFFFAOYSA-N,None,None,None,None,None,-769.490443926801
69,PreSm_SGHWCOGVXGUADK-UHFFFAOYSA-N,None,None,None,None,None,-769.501749555372
70,PreTS_RTVJKSWRNQXYIT-UHFFFAOYSA-N,None,None,None,None,None,-921.641865076579
71,HPRYCTMHBHPYBO-UHFFFAOYSA-N,None,None,None,None,None,-537.398969477311
72,PreTS_RQYLLQZMJBWMHH-UHFFFAOYSA-N,None,None,None,None,None,-1013.771855739918
73,PreSm_AHPNQRDUZRCXIO-UHFFFAOYSA-N,None,None,None,None,None,-730.279659791234
74,PreTS_LHKUDMLSXGHBPF-UHFFFAOYSA-N,None,None,None,None,None,-1444.064427348484
75,PreSm_VIRUAVNQALUSNJ-UHFFFAOYSA-N,None,None,None,None,None,-651.781544614222
76,YKYONYBAUNKHLG-UHFFFAOYSA-N,None,None,None,None,None,-345.792442615512
77,PreTS_SEOIFVFWJIJIIG-UHFFFAOYSA-N,None,None,None,None,None,-733.298786076324
78,HDFGOPSGAURCEO-UHFFFAOYSA-N,None,None,None,None,None,-437.350853476551
79,PreTS_GULPOKXVKHWXBS-UHFFFAOYSA-N,None,None,None,None,None,-733.320091971362
80,BTMVHUNTONAYDX-UHFFFAOYSA-N,None,None,None,None,None,-424.266750648897
81,OCWLYWIFNDCWRZ-UHFFFAOYSA-N,None,None,None,None,None,-385.042143475662
82,PreSm_GJBFCHDGKFLGPU-UHFFFAOYSA-N,None,None,None,None,None,-769.480786955831
83,PreSm_MRTAOOLXDIZHHG-UHFFFAOYSA-N,None,None,None,None,None,-657.942763038375
84,AVUFZLGLMCACRE-UHFFFAOYSA-N,None,None,None,None,None,-384.438959782014
